English word,French word,Frequency
drawn,tiré,92
skill.,compétence,62
believe,croyez,253
Though,bien que,1395
knows,sait,213
parts:,les pièces,112
write,écrire,162
faces.,visages,53
"tongue,",langue,503
yours,le tiens,609
alive,vivant,93
twice,deux fois,72
Rough,rugueux,634
shake,secouer,395
short,court,172
Sometime,parfois,138
complexion,complexion,47
sometime,parfois,138
"chance,",chance,211
course,cours,253
blunt,cru,80
earth,Terre,380
Pluck,cueillir,163
teeth,les dents,56
fierce,féroce,44
"blood,",du sang,947
sorry,Pardon,92
forbid,interdire,86
there,Là,3094
despite,malgré,59
"wrong,",faux,379
young.,Jeune,528
"painted,",peint,53
master,Maître,991
mistress,maîtresse,461
"passion,",la passion,147
heart,cœur,1350
acquainted,connaissance,43
false,faux,355
"fashion,",mode,125
object,objet,54
souls,âmes,114
woman,femme,512
wrought,forgé,43
purpose,objectif,261
nothing.,rien,640
"pleasure,",plaisir,258
treasure.,Trésor,58
truly,vraiment,172
"write,",écrire,162
"behold,",voir,199
"heart,",cœur,1350
breast,Sein,117
elder,aîné,50
therefore,par conséquent,627
Bearing,palier,76
nurse,infirmière,218
"slain,",tué,127
again.,encore,1364
heart;,cœur,1350
"trust,",confiance,244
forget,oublier,115
perfect,parfait,114
strength,force,143
might:,pourrait,679
"breast,",Sein,117
plead,plaider,63
tongue,langue,503
learn,apprendre,225
painter,peintre,45
table,table,292
wherein,où,133
"skill,",compétence,62
hanging,pendaison,63
turns,se tourne,73
"shape,",forme,132
therein,la bride,56
cunning,ruse,81
grace,la grâce,719
heart.,cœur,1350
favour,favoriser,203
"stars,",étoiles,71
triumph,triomphe,79
Great,génial,1147
pride,fierté,112
"buried,",enterré,59
frown,froncer les sourcils,88
glory,gloire,89
"fight,",bats toi,322
After,après,543
"quite,",assez,117
merit,mérite,79
written,écrit,35
witness,témoin,142
"great,",génial,1147
thought,pensée,682
apparel,vêtements,48
"loving,",aimant,122
"respect,",le respect,144
Weary,se lasser,87
haste,hâte,219
limbs,membres,49
Intend,avoir l'intention,97
darkness,obscurité,39
blind,aveugle,105
sight,vue,239
shadow,ombre,115
jewel,bijou,99
Makes,fait du,360
black,noir,197
night,nuit,1216
"limbs,",membres,49
quiet,silencieux,110
benefit,avantage,47
enemies,ennemis,111
consent,consentement,112
hands,mains,342
farther,plus loin,43
"bright,",brillant,82
clouds,des nuages,59
heaven:,paradis,853
flatter,flatter,137
"longer,",plus long,112
disgrace,disgrâce,58
Fortune,fortune,485
alone,seul,237
"state,",Etat,405
trouble,difficulté,133
curse,malédiction,182
enjoy,prendre plaisir,71
"least,",moins,101
almost,presque,161
wealth,richesse,113
scorn,mépris,146
kings.,rois,150
"sought,",recherché,40
waste:,déchets,75
drown,noyer,110
precious,précieux,79
sight.,vue,239
grieve,pleurer,71
account,Compte,57
before.,avant,840
while,tandis que,437
loving,aimant,122
"parts,",les pièces,112
buried.,enterré,59
"appear,",apparaître,231
buried,enterré,59
lovers,les amoureux,61
alone.,seul,237
Their,leur,2108
bones,des os,76
These,celles-ci,1394
grown,grandi,68
birth,naissance,101
brought,apporté,196
march,Mars,169
better,mieux,612
glorious,glorieux,43
morning,Matin,134
Flatter,flatter,137
sovereign,souverain,182
green;,vert,122
disgrace:,disgrâce,58
early,de bonne heure,109
"shine,",éclat,109
"stain,",tache,116
didst,didst,183
promise,promettre,160
forth,en avant,441
without,sans pour autant,368
rotten,pourri,40
enough,assez,313
"speak,",parler,1413
"wound,",blessure,211
"grief,",douleur,274
"repent,",se repentir,77
sorrow,chagrin,244
bears,ours,110
cross.,traverser,126
tears,larmes,294
ransom,une rançon,66
deeds.,actes,119
silver,argent,72
Clouds,des nuages,59
stain,tache,116
fault,faute,280
bring,apporter,526
"sense,",sens,187
lawful,légitime,77
civil,civil,68
needs,Besoins,147
thief,voleur,68
confess,avouer,185
Although,bien que,79
loves,aime,225
"remain,",rester,127
borne,supporté,96
"spite,",dépit,132
"effect,",effet,116
steal,voler,130
delight.,délice,86
kindness,la gentillesse,79
Unless,sauf si,155
report.,rapport,186
father,père,1157
"delight,",délice,86
deeds,actes,119
"youth,",jeunesse,318
dearest,très cher,56
spite,dépit,132
comfort,confort,254
truth.,vérité,349
whether,qu'il s'agisse,97
"birth,",naissance,101
"wealth,",richesse,113
store:,boutique,72
While,tandis que,437
"argument,",argument,78
"excellent,",excellent,125
light?,lumière,611
Eternal,éternel,40
bring:,apporter,526
alone:,seul,237
absence,absence,55
leisure,loisir,68
"leave,",laisser,748
entertain,divertir,98
hence,Par conséquent,583
remain.,rester,127
"loves,",aime,225
before?,avant,840
blame,faire des reproches,94
taste,goût,98
grief,douleur,274
known,connu,233
"grace,",la grâce,719
"shows,",montre,103
pretty,jolie,117
liberty,liberté,73
Gentle,doux,1237
leave,laisser,748
"forbear,",ancêtre,65
truth:,vérité,349
"dearly,",chèrement,42
"chief,",chef,223
Loving,aimant,122
excuse,excuse,86
because,car,187
abuse,abuser de,76
friend,ami,1017
found,a trouvé,320
"other,",autre,2845
"cross,",traverser,126
Sweet,sucré,925
"sleep,",sommeil,438
dreams,rêves,46
clear,clair,86
"light,",lumière,611
Through,par,284
heavy,lourd,169
sleep,sommeil,438
flesh,la chair,142
"brought,",apporté,196
matter,matière,385
place,endroit,525
large,grand,104
water,eau,207
"wrought,",forgé,43
"attend,",assister,416
"tears,",larmes,294
"abide,",respecter,45
"desire,",le désir,310
swift,rapide,100
motion,mouvement,113
"death,",décès,931
Until,jusqu'à,78
"health,",santé,120
straight,tout droit,161
"right,",droite,878
title,Titre,121
picture,image,52
"feast,",le banquet,132
heart:,cœur,1350
Another,un autre,455
either,Soit,358
present,présent,443
"thrust,",poussée,66
trust!,confiance,244
"comfort,",confort,254
"dearest,",très cher,56
thief.,voleur,68
whence,d'où,76
prize,prix,56
greet,saluer,93
"desert,",désert,65
guard,garde,202
cause.,cause,549
teach,enseigner,137
beast,la bête,130
weight,poids,63
wretch,misérable,153
speed,la vitesse,287
anger,colère,365
sharp,tranchant,90
behind.,derrière,120
"offence,",infraction,121
"speed,",la vitesse,287
horse,cheval,335
Therefore,par conséquent,627
fiery,ardent,49
"going,",Aller,111
"treasure,",Trésor,58
pleasure.,plaisir,258
solemn,solennel,69
captain,capitaine,206
special,spécial,64
instant,instant,85
pride.,fierté,112
Being,étant,664
"triumph,",triomphe,79
"substance,",substance,43
strange,étrange,365
"counterfeit,",contrefaire,69
cheek,joue,243
Speak,parler,1413
breath,souffle,360
virtue,vertu,244
themselves.,se,159
shine,éclat,109
"stone,",calcul,235
"sword,",épée,427
quick,rapide,328
"forth,",en avant,441
judgment,jugement,117
"force,",Obliger,276
former,ancien,74
might.,pourrait,679
"again,",encore,1364
spirit,esprit,407
"shore,",rive,85
Return,revenir,281
blest,heureux,84
"winter,",hiver,84
"welcome,",Bienvenue,380
slave,esclave,176
desire?,le désir,310
spend;,dépenser,80
watch,regarder,266
servant,serviteur,543
jealous,jaloux,96
affairs,affaires,68
those.,ceux,547
"forbid,",interdire,86
"slave,",esclave,176
"crave,",demander,73
bound,lié,229
leisure.,loisir,68
suffer,souffrir,162
"liberty,",liberté,73
patience,la patience,208
"strong,",fort,279
pardon,pardon,327
"before,",avant,840
brains,cerveaux,49
child!,enfant,392
wonder,merveille,165
"frame,",Cadre,55
Whether,qu'il s'agisse,97
worse,pire,178
flourish,fleurir,146
"truth,",vérité,349
"worth,",vaut,594
cruel,cruel,100
night?,nuit,1216
sight?,vue,239
"awake,",éveillé,87
"remedy,",remède,59
"account,",Compte,57
indeed,En effet,438
contrary,contraire,47
"praise,",louange,239
spring:,printemps,91
"knife,",couteau,56
memory,Mémoire,58
green.,vert,122
Advantage,avantage,88
kingdom,Royaume,127
store.,boutique,72
"State,",Etat,405
taught,enseigné,55
fears,peurs,77
"earth,",Terre,380
"power,",Puissance,382
action,action,234
flower?,fleur,103
gates,portes,105
steel,acier,78
fearful,craintif,99
forbid?,interdire,86
"might,",pourrait,679
bright.,brillant,82
desert,désert,65
beggar,mendiant,125
faith,Foi,464
"authority,",autorité,55
folly,folie,80
simple,Facile,129
"these,",celles-ci,1394
advantage,avantage,88
"cheek,",joue,243
"shadow,",ombre,115
blush,rougir,89
"since,",depuis,462
Before,avant,840
bastard,Connard,234
durst,durst,51
"green,",vert,122
Nature,la nature,412
voice,voix,213
commend.,saluer,155
seeing,voyant,56
guess,devine,55
measure,mesure,110
"deeds,",actes,119
flower,fleur,103
smell,odeur,69
weeds:,mauvaises herbes,44
common,commun,247
"suspect,",suspect,53
flies,mouches,62
slander,calomnie,92
young,Jeune,528
Either,Soit,358
suspect,suspect,53
dwell:,habiter,73
remember,rappelles toi,200
prove.,prouver,371
devise,concevoir,57
speak,parler,1413
worth.,vaut,594
makes,fait du,360
carry,porter,113
coward,lâche,150
ground;,sol,182
peace,paix,556
found.,a trouvé,320
delight,délice,86
pride?,fierté,112
change?,changement,246
aside,de côté,468
strange?,étrange,365
proceed?,procéder,134
always,toujours,63
argument:,argument,78
already,déjà,148
"waste,",déchets,75
taste.,goût,98
"memory,",Mémoire,58
Commit,commettre,86
"brain,",cerveau,154
profit,profit,65
double,double,130
majesty.,majesté,270
place.,endroit,525
grant,subvention,152
argument,argument,78
"virtue,",vertu,244
cheek:,joue,243
thank,remercier,517
faint,perdre connaissance,76
Knowing,connaissance,53
humble,humble,94
appear.,apparaître,231
"rotten,",pourri,40
yield,rendement,202
"grave,",la tombe,244
"subject,",matière,172
blessing,bénédiction,67
friend.,ami,1017
gross,brut,96
"report,",rapport,186
"short,",court,172
silence,silence,114
There,Là,3094
devise.,concevoir,57
equal,égal,69
"dwell,",habiter,73
"glory,",gloire,89
story.,récit,93
making,fabrication,85
"clear,",clair,86
where.,où,1873
"curse,",malédiction,182
worse.,pire,178
holds,tient,93
something,quelque chose,183
"others,",autres,520
effect.,effet,116
Bound,lié,229
brain,cerveau,154
"spirit,",esprit,407
Above,au dessus,147
struck,frappé,84
neither,ni,186
Giving,donnant,65
familiar,familier,47
ghost,fantôme,112
"matter,",matière,385
Farewell!,adieu,355
cause,cause,549
"knowing,",connaissance,53
Comes,vient,701
making.,fabrication,85
dream,rêver,211
"flatter,",flatter,137
matter.,matière,385
"scorn,",mépris,146
"acquainted,",connaissance,43
story,récit,93
glory:,gloire,89
Doing,Faire,86
"vantage,",avantage,133
wrong.,faux,379
"fault,",faute,280
"change,",changement,246
"disgrace,",disgrâce,58
knowing,connaissance,53
strange:,étrange,365
"fortune,",fortune,485
"sorrow,",chagrin,244
"morrow,",demain,353
horse.,cheval,335
humour,humour,124
Wherein,où,133
finds,trouve,42
"measure,",mesure,110
revolt,révolte,64
Happy,heureux,243
"false,",faux,355
"husband,",mari,373
"looks,",regards,216
strange.,étrange,365
power,Puissance,382
"thing,",chose,1713
lords,seigneurs,594
"faces,",visages,53
"Others,",autres,520
"sweet,",sucré,925
weeds.,mauvaises herbes,44
Cannot,ne peux pas,762
knife,couteau,56
"sport,",sport,168
finger,doigt,114
"queen,",reine,989
"betray,",trahir,68
state!,Etat,405
burden,fardeau,62
"fruit,",fruit,70
"cheer,",acclamation,131
thing:,chose,1713
Could,pourrait,654
pluck,cueillir,163
delight:,délice,86
Drawn,tiré,92
forward,vers l'avant,103
"chide,",gronder,59
"thief,",voleur,68
breath?,souffle,360
"stand,",supporter,944
despair:,désespoir,62
third,troisième,247
"breath,",souffle,360
death.,décès,931
colour,Couleur,168
might?,pourrait,679
skill,compétence,62
argument.,argument,78
knife.,couteau,56
Because,car,187
Excuse,excuse,86
office,Bureau,351
"hence,",Par conséquent,583
tongue:,langue,503
"pride,",fierté,112
write!,écrire,162
appears,apparaît,50
doing,Faire,86
disgrace.,disgrâce,58
still:,encore,588
Steal,voler,130
"figure,",figure,66
"motion,",mouvement,113
"which,",lequel,2322
Still,encore,588
ladies,Dames,148
"wonder,",merveille,165
"fears,",peurs,77
crown,couronne,395
drops,gouttes,58
"fresh,",Frais,124
express,Express,70
merit?,mérite,79
Nothing,rien,640
prayers,prières,85
"divine,",Divin,59
Never,jamais,1023
affections,affections,40
"above,",au dessus,147
"proof,",preuve,118
"friend,",ami,1017
breast.,Sein,117
guilty,coupable,71
comes,vient,701
patient,patient,130
"drink,",boisson,218
bitter,amer,96
"think,",pense,1368
assure,assurer,71
"alive,",vivant,93
sense,sens,187
throw,jeter,213
besides,outre,109
"about,",sur,415
partly,partiellement,35
"blind,",aveugle,105
"seeing,",voyant,56
"flower,",fleur,103
catch:,capture,93
"creature,",créature,110
night:,nuit,1216
Drink,boisson,218
plague,peste,110
"first,",première,1175
prepare,préparer,82
begin.,commencer,188
reason,raison,498
afterwards,ensuite,38
"kings,",rois,150
minds,esprits,56
Might,pourrait,679
"present,",présent,443
marriage,mariage,122
"finds,",trouve,42
"unknown,",inconnue,44
taken.,pris,104
Accuse,accuser,53
unknown,inconnue,44
"minds,",esprits,56
proof,preuve,118
Bring,apporter,526
"frown,",froncer les sourcils,88
sickness,maladie,54
policy,politique,45
goodness,la bonté,56
poison,poison,128
drunk,ivre,114
"within,",dans,494
never!,jamais,1023
better.,mieux,612
Needs,Besoins,147
steel.,acier,78
taken,pris,104
wounded,blessés,42
"being,",étant,664
seeing.,voyant,56
blood?,du sang,947
"maintain,",maintenir,58
reign.,règne,328
remain,rester,127
Beyond,au-delà,60
trust,confiance,244
"strange,",étrange,365
sight:,vue,239
"brief,",bref,114
rather,plutôt,323
heard,entendu,364
haste:,hâte,219
Weeds,mauvaises herbes,44
"weeds,",mauvaises herbes,44
falls,des chutes,82
Under,sous,678
fashion,mode,125
fools,imbéciles,104
"goodness,",la bonté,56
sweet;,sucré,925
"render,",rendre,57
"Hence,",Par conséquent,583
"grown,",grandi,68
"purpose,",objectif,261
treasure!,Trésor,58
render,rendre,57
"black,",noir,197
"music,",la musique,261
stand.,supporter,944
"action,",action,234
"blame,",faire des reproches,94
"cruel,",cruel,100
sooner,plus tôt,62
"straight,",tout droit,161
"having,",ayant,158
behind,derrière,120
dream.,rêver,211
sound:,du son,333
ground.,sol,182
cruel;,cruel,100
jewel.,bijou,99
swear,jurer,356
"swear,",jurer,356
Better,mieux,612
become,devenir,210
herself,se,98
wound,blessure,211
"taken,",pris,104
Prison,prison,260
"guard,",garde,202
learned,appris,56
abuse.,abuser de,76
"whole,",entier,161
shine?,éclat,109
"water,",eau,207
Think,pense,1368
Swear,jurer,356
several,nombreuses,106
place?,endroit,525
"young,",Jeune,528
credit,crédit,73
habit,habitude,86
Wound,blessure,211
forbear,ancêtre,65
"aside,",de côté,468
"knows,",sait,213
"enemies,",ennemis,111
"express,",Express,70
manner,manière,175
health,santé,120
despair,désespoir,62
madness,la démence,68
"taste,",goût,98
"smell,",odeur,69
feast,le banquet,132
foolish,insensé,103
"those,",ceux,547
deserve,mériter,135
denied.,refusé,55
"catch,",capture,93
broke,cassé,383
dispatch,envoi,92
catch,capture,93
follow,suivre,562
still.,encore,588
"despair,",désespoir,62
angel,ange,345
saint,Saint,149
devil:,diable,293
"fiend,",démon,82
Suspect,suspect,53
"doubt,",doute,255
sound,du son,333
Straight,tout droit,161
mercy,pitié,187
giving,donnant,65
greet:,saluer,93
fiend,démon,82
saying,en disant,63
spend?,dépenser,80
charge?,charge,493
store;,boutique,72
terms,termes,75
divine,Divin,59
dying,en train de mourir,54
please:,S'il vous plaît,449
desperate,désespéré,54
Desire,le désir,310
except.,sauf,60
discourse,discours,67
sworn,juré,197
night.,nuit,1216
tears?,larmes,294
mistake,erreur,53
Revenge,vengeance,189
service,un service,485
worship,culte,133
Commanded,commandé,40
blind.,aveugle,105
Whence,d'où,76
state.,Etat,405
conscience,conscience,127
betray,trahir,68
"treason,",trahison,116
Triumph,triomphe,79
"reason,",raison,498
"prize,",prix,56
"affairs,",affaires,68
bearing:,palier,76
accuse,accuser,53
oaths,serments,87
honest,honnête,406
kindness:,la gentillesse,79
Oaths,serments,87
Cupid,Cupidon,60
"asleep,",endormi,60
"found,",a trouvé,320
ground:,sol,182
"endure,",supporter,81
trial,procès,65
touch,toucher,315
withal,avec,153
chaste,chaste,46
Dramatis,dramatis,36
FRANCE,France,529
Count,compter,878
"PAROLLES,",parolles,175
FRENCH,français,267
"LORDS,",seigneurs,594
"STEWARD,",intendant,50
Servant,serviteur,543
Countess,comtesse,123
clown,pitre,355
COUNTESS,comtesse,123
mother,mère,479
WIDOW,veuve,142
daughter,fille,494
Widow,veuve,142
neighbour,voisine,94
"MARIANA,",Mariana,48
"Lords,",seigneurs,594
French,français,267
SCENE:,scène,807
Paris;,Paris,171
SCENE,scène,807
palace,palais,167
Enter,entrer,2519
COUNTESS.,comtesse,123
husband.,mari,373
attend,assister,416
"command,",commander,291
father.,père,1157
passage,passage,44
"Would,",aurait,2456
living!,vivant,123
excellent,excellent,125
"indeed,",En effet,438
spoke,parlait,219
goodness.,la bonté,56
tears.,larmes,294
season,saison,69
cheek.,joue,243
enemy,ennemi,167
living.,vivant,123
mortal.,mortel,147
understand,comprendre,123
"blest,",heureux,84
shape!,forme,132
wrong,faux,379
Rather,plutôt,323
"silence,",silence,114
speech.,discours,163
Farewell.,adieu,355
Heaven,paradis,853
bless,bénir,277
"Farewell,",adieu,355
"mistress,",maîtresse,461
Exeunt,sortir,1035
father;,père,1157
undone;,défait,55
"living,",vivant,123
particular,particulier,72
ambition,ambition,49
itself:,lui-même,240
"pretty,",jolie,117
"plague,",peste,110
"brows,",sourcils,49
trick,tour,94
favour.,favoriser,203
fancy,fantaisie,68
PAROLLES,parolles,175
coward;,lâche,150
Looks,regards,216
"withal,",avec,153
wisdom,sagesse,105
folly.,folie,80
PAROLLES.,parolles,175
queen!,reine,989
soldier,soldat,491
question.,question,177
valiant,vaillant,162
warlike,guerrier,58
Bless,bénir,277
"marry,",marier,377
found;,a trouvé,320
companion;,un compagnon,55
"little,",peu,484
nature.,la nature,412
hangs,bloque,37
"itself,",lui-même,240
itself,lui-même,240
stomach.,estomac,62
"Besides,",outre,109
"proud,",fier,249
"Marry,",marier,377
request.,demande,85
better;,mieux,612
anything,n'importe quoi,105
"captain,",capitaine,206
"enemy,",ennemi,167
"sovereign,",souverain,182
"ambition,",ambition,49
"faith,",Foi,464
shall.,doit,3865
faith?,Foi,464
"Parolles,",parolles,175
Little,peu,484
farewell;,adieu,355
court.,tribunal,474
rather.,plutôt,323
fight.,bats toi,322
advantage.,avantage,88
safety:,sécurité,74
valour,valeur,101
business,Entreprise,236
serve,servir,463
"counsel,",Conseil,176
advice,Conseil,43
thrust,poussée,66
"leisure,",loisir,68
prayers;,prières,85
farewell.,adieu,355
ourselves,nous-mêmes,188
heaven.,paradis,853
native,originaire de,45
pains,des douleurs,92
project,projet,254
Paris.,Paris,171
Flourish,fleurir,146
"FRANCE,",France,529
fought,combattu,68
FIRST,première,1175
cousin,cousin,287
"business,",Entreprise,236
"Majesty,",majesté,270
"answer,",répondre,480
denied,refusé,55
comes;,vient,701
"service,",un service,485
SECOND,seconde,585
Young,Jeune,528
"Youth,",jeunesse,318
"nature,",la nature,412
"haste,",hâte,219
Welcome,Bienvenue,380
myself,moi même,567
First,première,1175
lords;,seigneurs,594
contempt,mépris,55
below,au dessous de,54
place;,endroit,525
times;,fois,302
"Which,",lequel,2322
royal,Royal,255
Would,aurait,2456
quoth,quoth,66
first.,première,1175
"Count,",compter,878
"Welcome,",Bienvenue,380
Count;,compter,878
Thank,remercier,517
Majesty.,majesté,270
"COUNTESS,",comtesse,123
CLOWN,pitre,355
STEWARD.,intendant,50
content,contenu,270
knave,fripon,239
sirrah.,sirrah,148
believe;,croyez,253
commit,commettre,86
yours.,le tiens,609
CLOWN.,pitre,355
fellow.,compagnon,445
beggar?,mendiant,125
Service,un service,485
marry.,marier,377
flesh;,la chair,142
devil,diable,293
reason?,raison,498
"Faith,",Foi,464
marry,marier,377
repent.,se repentir,77
"marriage,",mariage,122
knave.,fripon,239
blood;,du sang,947
friend;,ami,1017
marriage;,mariage,122
heads,têtes,131
knave?,fripon,239
speak.,parler,1413
"Sirrah,",sirrah,148
"stood,",se tenait,107
sentence,phrase,45
"knave,",fripon,239
command,commander,291
forsooth.,en vérité,48
Faith,Foi,464
"herself,",se,98
"advantage,",avantage,88
finds.,trouve,42
demand.,demande,89
Alone,seul,237
sense.,sens,187
"Fortune,",fortune,485
queen,reine,989
knight,Chevalier,189
withal;,avec,153
yourself.,toi même,280
STEWARD,intendant,50
passion,la passion,147
youth.,jeunesse,318
mistress.,maîtresse,461
mother?,mère,479
choice,choix,72
"mercy,",pitié,187
maiden!,jeune fille,78
messenger,Messager,334
daughter?,fille,494
"Pardon,",pardon,327
brother:,frère,734
"humble,",humble,94
noble.,noble,754
"master,",Maître,991
brother.,frère,734
Indeed,En effet,438
mother!,mère,479
"heaven,",paradis,853
sister.,sœur,238
"daughter,",fille,494
brother?,frère,734
again?,encore,1364
Confess,avouer,185
other;,autre,2845
"Speak,",parler,1413
charge,charge,493
truly.,vraiment,172
"pardon,",pardon,327
noble,noble,754
about;,sur,415
affection;,affection,118
"confess,",avouer,185
honest;,honnête,406
encounter,rencontre,61
"yourself,",toi même,280
dearly,chèrement,42
search,chercher,61
Paris?,Paris,171
truth;,vérité,349
swear.,jurer,356
"Paris,",Paris,171
Speak.,parler,1413
danger,danger,224
itself?,lui-même,240
heaven;,paradis,853
"success,",Succès,88
Means,veux dire,264
LORDS,seigneurs,594
PAROLLES;,parolles,175
"lords,",seigneurs,594
Grace,la grâce,719
health.,santé,120
"Health,",santé,120
Majesty!,majesté,270
demand;,demande,89
serve.,servir,463
attended,assisté,46
commanded,commandé,40
bought,acheté,51
sword,épée,427
dance,Danse,113
Count.,compter,878
Captain.,capitaine,206
Parolles!,parolles,175
Noble,noble,754
Captain,capitaine,206
cheek;,joue,243
"shall,",doit,3865
yourself,toi même,280
pardon.,pardon,327
mercy;,pitié,187
motion;,mouvement,113
Doctor,docteur,120
"Wisdom,",sagesse,105
"demand,",demande,89
business?,Entreprise,236
laugh,rire,243
neither.,ni,186
wings,ailes,57
indeed.,En effet,438
